Category,Description,Nutrient_Data_Bank_Number,Data_Alpha_Carotene,Data_Beta_Carotene,Data_Beta_Cryptoxanthin,Data_Carbohydrate,Data_Cholesterol,Data_Choline,Data_Fiber,Data_Lutein_and_Zeaxanthin,Data_Lycopene,Data_Niacin,Data_Protein,Data_Retinol,Data_Riboflavin,Data_Selenium,Data_Sugar_Total,Data_Thiamin,Data_Water,Data_Fat_Monosaturated_Fat,Data_Fat_Polysaturated_Fat,Data_Fat_Saturated_Fat,Data_Fat_Total_Lipid,Data_Major_Minerals_Calcium,Data_Major_Minerals_Copper,Data_Major_Minerals_Iron,Data_Major_Minerals_Magnesium,Data_Major_Minerals_Phosphorus,Data_Major_Minerals_Potassium,Data_Major_Minerals_Sodium,Data_Major_Minerals_Zinc,Data_Vitamins_Vitamin_A_RAE,Data_Vitamins_Vitamin_B12,Data_Vitamins_Vitamin_B6,Data_Vitamins_Vitamin_C,Data_Vitamins_Vitamin_E,Data_Vitamins_Vitamin_K
Sugar substitute,"Sugar substitute, stevia, powder",91108000,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar substitute,"Sugar substitute, monk fruit, powder",91108020,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar,"Sugar, white, confectioner's, powdered",91101020,0,0,0,99.77,0,0,0,0,0,0,0,0,0.019,0.6,97.81,0,0.23,0,0,0,0,1,0.007,0.06,0,0,2,2,0.01,0,0,0,0,0,0
Sugar,"Sugar, NFS",91101000,0,0,0,99.6,0,0,0,0,0,0,0,0,0.019,0.6,99.8,0,0.02,0,0,0,0.32,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0,0,0
Sugar,"Sugar, white, granulated or lump",91101010,0,0,0,99.6,0,0,0,0,0,0,0,0,0.019,0.6,99.8,0,0.02,0,0,0,0.32,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0,0,0
Sugar substitute and sugar blend,Sugar substitute and sugar blend,91106010,0,0,0,99.35,0,0,0,0,0,0,0,0,0.018,0.6,99.22,0,0.28,0,0,0,0.31,1,0.007,0.05,0,0,2,1,0.01,0,0,0,0,0,0
Strawberry beverage powder,"Strawberry beverage powder, dry mix, not reconstituted",11830400,0,0,0,99.1,0,0.1,0,0,0,0.073,0.1,0,0.11,0.5,95.45,0.003,0.4,0,0,0,0.2,4,0,0.44,1,5,6,38,0,0,0,0.002,0.3,0,0
Fruit flavored drink,"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",92900100,0,0,1,98.94,0,0.1,0.4,1,0,8,0,599,0.68,0.5,92.31,0.001,0.14,0,0,0,0,385,0.013,0.02,0,151,190,17,0.01,599,0,0.8,230.8,0,0
Gumdrops,Gumdrops,91745010,0,0,0,98.9,0,0,0.1,0,0,0.01,0,0,0.013,0.8,58.97,0.006,1,0,0,0,0,3,0.012,0.4,1,1,5,44,0,0,0,0.005,0,0,0
Dietetic or low calorie candy,"Dietetic or low calorie candy, NFS",91770000,0,0,0,98.6,0,0,0,0,0,0,0,0,0,0.6,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
